row_id,planet_name,num_stars,num_planets,num_moons,orbital_period,radius_in_earth,mass_in_earth,planet_mass,eccentricity,equilibrium_temp_K,st_eff_temp_k,st_radius,st_mass
4584,Kepler-867 b,1,1,0,150.242127,3.79,,,0,291,5514,0.74,0.81
4585,Kepler-868 b,1,1,0,,3.072,,,,,5968,1.1,
4586,Kepler-869 b,1,1,0,40.4287755,3.25,,,0,496,5812,0.84,0.92
4587,Kepler-87 b,1,2,0,,10.666,,,,,5600,1.48,
4588,Kepler-87 c,1,2,0,573.95023,4.96,,,0,259,5991,1.29,0.98
4589,Kepler-870 b,1,1,0,21.3587621,2.78,,,,,5857,1.02,1.01
4590,Kepler-871 b,1,1,0,22.0459163,,,,,,5812,1.41,1.05
4591,Kepler-872 b,1,1,0,2.57885507,1.6,,,0,1232,5751,0.85,0.94
4592,Kepler-873 b,1,1,0,20.55336572,,,,,,5983,1.09,1.1
4593,Kepler-874 b,1,1,0,40.0686713,,,,,,5747,1.18,1.03
4594,Kepler-875 b,1,1,0,27.5073799,2.28,,,0,569,5783,0.88,0.98
4595,Kepler-876 b,1,1,0,5.1443645,,,,,,5023,0.89,0.84
4596,Kepler-877 b,1,1,0,18.45847097,2.3,,,0,615,5413,0.86,0.86
4597,Kepler-878 b,1,1,0,,2.626,,,,,5170,1.07,
4598,Kepler-879 b,1,1,0,33.38541,2.32,,,0,572,5803,0.99,0.94
4599,Kepler-88 d,1,3,0,1425.439707,,,1002.73189,0.430141,,,,0.98
4600,Kepler-880 b,1,2,0,7.71467686,4.65,,,0,1622,6900,2.6,1.71
4601,Kepler-880 c,1,2,0,11.80619472,1.53,,,0,1090,6915,1.45,1.39
4602,Kepler-881 b,1,1,0,,1.732,,,,,6254,1.09,
4603,Kepler-882 b,1,1,0,,1.158,,,,,5320,0.85,
4604,Kepler-883 b,1,1,0,12.98495573,1.53,,,0,834,6212,0.94,0.84
